viral,Preys,ATP2A2_score,ENO3_score,ACTB_score,TPM2_score,TPM4_score,CALM3_score,TPM1_score,CALM2_score,MYL9_score,MYL6_score,TNNC1_score,CKM_score,MYL7_score,MYH11_score,MYLK_score,MYL4_score,TNNI1_score,TPM3_score,MYH6_score,TNNI3_score,CAPZB_score,ACTC1_score,MYOM2_score,TMOD1_score,TTN_score,MYH8_score,MYO1G_score,TRIM63_score,TNNT3_score,NEB_score,MYL3_score,OBSCN_score,MYH2_score,MYO7A_score,MYO3A_score,MYH7_score,MYH15_score,MYO3B_score,MYO1H_score,MYO15A_score,MYLK2_score,MYO7B_score,MYO1A_score,MYH4_score,MYH1_score,MYH13_score,MYO1F_score
nsp15,3,0.0004479830950564659,0.0005581391691941092,0.0008325765779846786,0.00037384493968307275,0.00036529098034767977,0.0005134532479172679,0.0004512714076579886,0.0005307623747081,0.00018375570626932028,0.0003842619088728832,0.000108323811709879,0.0001545673715369667,4.237771237434518e-05,0.00026541599602395295,0.0001539986582132804,7.764226341059844e-05,0.00015443700488408885,0.00046451418766707987,0.0001716395816003809,0.00017533614127871518,0.0004289622979998845,0.0008024296641533562,0.00011092906096154683,0.00021482470623360915,0.0003396824693223549,0.00016930454120050648,0.00013366238842095308,0.00039231012542073976,6.887902878769062e-05,0.00022437053781356475,9.717032610418687e-05,0.0001737347730354509,0.00013421051763078484,0.00012072629954288068,4.4678259690016664e-05,0.00018859079171568827,7.67293014117085e-05,7.694757620625046e-05,0,6.441870117826213e-05,0.00032576398813594445,5.304043124386487e-05,0.0001236826015169907,0.0001382211736704553,0.00015983247756592045,0.000171030156871535,0.00010007749800391326
nsp2,7,0.0018845238756376869,0.00045331547362124566,0.0014992746671357476,0.0006217612738569681,0.0006280126259232086,0.0008426267457432297,0.0007464051765686896,0.0008398409234950331,0.00030643778988639664,0.0006314575335766358,0.00017502860465214308,0.0002603343396169065,6.690767151092095e-05,0.0005072681049177652,0.00028918207179297784,0.0001275481313938801,0.00025572930968730055,0.0007544927718805983,0.0003076691973581459,0.0002472434364158228,0.0010468981604969767,0.0014197954214994076,0.00017882130775056382,0.00043173736235968367,0.0006123195769997296,0.0002671215882750916,0.0002567489047846489,0.0006551009779790446,0.00010418572520409848,0.00046292761046190414,0.00019555713342168409,0.00030640314871288024,0.0002506552668679679,0.00022364557944834154,8.692351060258726e-05,0.00038845199294297274,0.00015982401230275184,0.00016452102841279316,0,9.567558956673984e-05,0.0006077748869372368,0.00010411186728901076,0.0002354856251507438,0.0002500993002743692,0.0003593457688805531,0.0002700493807561179,0.00020900330932499376
nsp4,8,0.0008227724852466268,0.0004377846403758565,0.0012483759599620512,0.0005165456451486223,0.0005422144510603302,0.0007752375271442297,0.0006629703113377638,0.0007727663599018028,0.0002553702168820901,0.0005411414847131231,0.00014774332510803333,0.00021467912999326784,9.456858887805954e-05,0.0003873157174551445,0.0002570826687278901,0.00012763355599262606,0.00021099166255896963,0.0006501480874523864,0.00025643410205643984,0.00021133084150579668,0.0005885115648435572,0.0010853818193061002,0.00013902252651777785,0.000291661056196876,0.0005393714768599458,0.00022959928177078185,0.00016644123258453003,0.0005237381018251742,8.987268816082917e-05,0.00031860150201513585,0.00014019317913957805,0.0002563343868370906,0.00019908482474307053,0.00018411906122029257,6.2215532159341e-05,0.000253671102963454,0.00012624029617251236,0.0001164726919881922,0,8.397850083734214e-05,0.0005525885628015367,8.868719328445227e-05,0.00015261948095675952,0.00019134383027616196,0.00024255731116263048,0.00023145127800170329,0.000160946494140579
nsp5,1,0.00029586828067648056,0.00018609846867724753,0.0006789573728233296,0.00026542303697815576,0.00024424489594999346,0.0003266675700698768,0.0003169136496428674,0.000324812472769783,0.000142126599896391,0.00027324061571793807,7.824206030172939e-05,0.00011401252025051445,2.9865189027617824e-05,0.00019244484335783745,0.00010953317132350074,5.689189548871578e-05,0.0001199947983553016,0.00029599527125522587,0.00013597346160743596,0.00010358909826255559,0.00035493163058800413,0.0006294542810633421,7.862925230271521e-05,0.00014973820869090037,0.0002573404747410431,0.00013964951419385808,8.147187895175467e-05,0.00026903048475073995,5.3528560968572965e-05,0.00017391390513950289,8.523677332932097e-05,0.00012909229203407488,0.00010256503638619156,8.974677946426378e-05,3.2177466442983624e-05,0.00013441818713827246,6.672866959758243e-05,6.113637068193632e-05,0,3.903610998556575e-05,0.0002898521015711025,3.729765939680458e-05,7.556531430903694e-05,9.9090160293372e-05,0.00012013511262953757,0.00017128480618820935,7.562729636451859e-05
nsp5_c145a,2,0.0001855850478899562,0.00013720206116401776,0.00032763117015096585,0.00014073822348820725,0.00013767003139055333,0.00018206247749254,0.00016885414123742862,0.00018177915819234613,6.804677839238545e-05,0.000141866551775626,3.9712969883891734e-05,6.599417521275119e-05,1.5290974963948616e-05,0.00010655944962063778,6.360830261795805e-05,3.348238253572782e-05,6.269580370119615e-05,0.00016412583111356875,7.03104752479602e-05,5.505977629260767e-05,0.00020984109895186656,0.0003173893297002707,4.1508005479658546e-05,8.361335795043247e-05,0.0001301315173290019,5.8694088441056335e-05,4.1263615109668456e-05,0.00015871653430700174,2.459158433069535e-05,8.955482782811985e-05,3.8293063255779935e-05,6.47218540413462e-05,5.49321450652407e-05,4.8281233814518935e-05,1.6415670193128368e-05,7.042652298028121e-05,3.110945254328403e-05,6.867394052349105e-05,0,2.0908327598842615e-05,0.00013148023456849747,2.0641915074782043e-05,4.2615179847892415e-05,4.967722590643873e-05,6.583818346091497e-05,5.318002966530582e-05,4.3161863659836805e-05
nsp6,4,0.0005457995158193808,0.00019624418182952272,0.00116305393204412,0.0002781526251508705,0.0002878504023875265,0.00039247341453643714,0.0003118297751724732,0.0003901945321323818,0.00013263230061174715,0.00029451879551454656,6.987844269369966e-05,0.00011590360575315921,2.4404736130992773e-05,0.00020258442685346158,0.00013722990844028008,5.41962745128551e-05,0.00010086533929649475,0.00035492074612034123,0.0001240578727719264,0.00010879421254212877,0.00029184582309230584,0.0005055061035734554,6.856456662979848e-05,0.00015592712807759333,0.0002586131618245469,0.00011884769737689603,0.0001019445989364363,0.0002448300744177105,5.329553572837397e-05,0.0001557823153020972,7.196993492089014e-05,0.0001905040708374915,0.00010233874821512028,0.0001040086234322151,4.264177950670989e-05,0.0001297190281091369,6.616447208821952e-05,6.62483670398428e-05,0,3.727300347906863e-05,0.00023068879635505452,5.946755550567466e-05,9.525012771496208e-05,9.130951660339654e-05,0.0001311710098644226,9.436351034255845e-05,7.216700270251757e-05
nsp7,32,0.0061060497693036534,0.0025030461200492107,0.010145164638543069,0.003133947396680354,0.003213399809014834,0.005298348528350268,0.003629603262005811,0.005290634819170815,0.0015586387380967955,0.004346374331840809,0.0008507198969215806,0.0013636235577825192,0.00030722717672725705,0.0024281932477605937,0.0014026094424350367,0.000668024416076019,0.0012197910011141637,0.003747260496972815,0.0015657083171905766,0.0013283845094640139,0.0036246812584346468,0.006102421509577282,0.0008880630866206651,0.0018542278862878315,0.003069406197224077,0.001332253821792257,0.005513426319497496,0.002991367448498723,0.0005151046509547557,0.002032102716136343,0.0008549139383735638,0.0016992449139118487,0.0013111218494772522,0.0010969412139784308,0.000429346860187426,0.0015145241969275703,0.000865523895244025,0.0009240566584185954,0,0.0005576106237812653,0.0028783114829413663,0.0005979251191257894,0.0009419029073777474,0.0011297751467594236,0.0014466463418674907,0.0011364351337217445,0.0009109408371425966
nsp8,24,0.0029160882665954786,0.0018939917566807532,0.005745387420503249,0.0033001593044849667,0.002241337892291767,0.002806207204727566,0.0028487599621900154,0.002813005207618776,0.0015260704244621627,0.0028399979691021023,0.0006504410753077573,0.0010517809444119148,0.00024617758721522326,0.002006977366723933,0.0009986463026258796,0.0005301304862850492,0.0010183921394651269,0.0027037991205968014,0.0012058969422833927,0.0008849155026920851,0.003292426955739024,0.006440842488077018,0.000671941534221659,0.0014095217646537418,0.0026845698596640486,0.001108083495955512,0.0007250129444738778,0.0023631348781351018,0.00043549513646900785,0.0015746856742926447,0.0006434525303011948,0.0011694603783283018,0.0009155831497515333,0.0007998779611832372,0.00028343745035332136,0.0011618482889772176,0.0005646714494735639,0.0005071264757017789,0,0.00032077992456675984,0.002824475858180363,0.0003311818310087005,0.0006963902031758386,0.0008937993969592928,0.0012096830738835003,0.0009746840237785977,0.0006903840643048284
nsp9,16,0.001455714914466774,0.0009062443656581416,0.002808036491904252,0.00120384963836151,0.0011978704525974983,0.0016807370130430478,0.0015643075291612114,0.0016705837502574115,0.00062718613386915,0.0012596354862466177,0.0003800089711027929,0.0005920921204695827,0.00017315442077894022,0.0010450649548765082,0.000556178959651369,0.0003144888104325586,0.0005362983072210039,0.0017742425398078862,0.0006551074863873351,0.0005290092841024001,0.00150953665385684,0.00332970737017668,0.0003848468589945536,0.0008033660749292434,0.00162742790133952,0.0005396030607973369,0.0003496570182145831,0.0013115481215113314,0.00021923026561781447,0.000821317091555909,0.00035268011641732437,0.0007830659019744084,0.0004837960252873229,0.0004637901654222562,0.0001611592254370556,0.0006480119423391846,0.00027672464480632184,0.000270573018421425,0,0.0002385627517653655,0.0012135195991156453,0.0001929851333574758,0.0004980641849452491,0.0004609935788195396,0.000566221863377089,0.0005519824843795516,0.0003714301406929326
orf10,9,0.0020126072621787674,0.0008155399093727843,0.0029758630126611287,0.0010866162723289071,0.0011514488317311633,0.0014073059204449997,0.0012881487015852426,0.0013749281448517093,0.0005338962416245298,0.0017804617055054129,0.0003224083924441349,0.000780422345246301,0.00010964784196125515,0.0008027099975562025,0.000468031141685648,0.0002350166955583598,0.0004849417024884583,0.0012121336574813402,0.0013916948144256957,0.000430922758787191,0.0015820557036989812,0.002341178384980348,0.00031316941036959933,0.0006221594575911273,0.0013577456573483145,0.0004980943430856849,0.00032789447539515967,0.0012437359223599427,0.0002124517829824642,0.0007428495803215244,0.0003039752502410908,0.000589167267497915,0.0004247414405052464,0.0003870900854149571,0.00016261170833407334,0.0005847824308597962,0.0002387557606919448,0.00023888569815893164,0,0.00015370481855379804,0.001151980542622346,0.00016097859134370265,0.000344319778951119,0.0004600216805445201,0.0005229831477581987,0.0004214339900294252,0.0003066617781098023
orf3a,8,0.0007036376577854053,0.0003657657386485043,0.0011509720314418716,0.0005023083696621599,0.0004904641888228131,0.000715190907295167,0.0005755294148320397,0.0007121699478657119,0.0003201650044579859,0.0005077797317788565,0.0001838499692177125,0.00021424678830246315,5.296196565214383e-05,0.0003770626420487359,0.00021386690285180601,0.00010029015034263591,0.0002577824549396657,0.0005666330224671791,0.0002438328565920725,0.0004726218379981962,0.0005656275895024515,0.0015506993178025525,0.0001910147916008964,0.00031494843567209585,0.0016542564171217607,0.0002109148405154129,0.0001475566850549441,0.0005260684648557593,9.130593841994031e-05,0.00034069608664407037,0.00014454277019257129,0.000382079281581411,0.00023375908259895737,0.00019395896230666213,6.468213060126673e-05,0.0002810152069864769,0.00020163305077846948,0.00011235131192221602,0,7.586779768935891e-05,0.00045638232317911956,8.618682827630356e-05,0.0001553006485219921,0.00018014041061788414,0.0002246564052168479,0.00019802099906545323,0.00013602718952552282
orf3b,1,0.00020315417738267895,0.0001017050510045456,0.0007541639721095467,0.00012136251078671621,0.00012649031911950902,0.00015351167039646369,0.00015528300605995233,0.00015325685763476878,5.647744370381083e-05,0.00014183152586387312,3.0890264624780283e-05,4.7118727788405894e-05,1.0952123379150014e-05,0.00012126851664761601,5.3205107049568086e-05,3.139355177910814e-05,4.429100926455867e-05,0.0001629917223188316,5.3517077536094105e-05,4.626182469276018e-05,0.00014091424257196055,0.00023871787797911058,3.076042211211124e-05,6.560077378107468e-05,0.00011828400603271268,5.709321126341003e-05,4.468283865084482e-05,0.0001124448596802875,1.9164194905779502e-05,6.992672107193971e-05,3.139585850493815e-05,5.751353035584902e-05,4.8458095390632075e-05,5.5015599435985665e-05,1.3719049747686522e-05,5.64960261220742e-05,2.698134520445205e-05,3.0314748165332284e-05,0,2.4007921768770327e-05,0.00011735519149988384,2.6354930201309058e-05,3.374587368464524e-05,4.712521719673123e-05,5.877119966258537e-05,4.380123389325191e-05,3.4794239742854644e-05
orf6,3,0.0004421309833244806,0.00029746793923570607,0.0007692873858555409,0.00032769185786866604,0.00038482794957984923,0.00038964816457951926,0.00039436655295127835,0.000387661806911304,0.0001562717784924633,0.0003288290580422055,8.859743473945439e-05,0.00021333448583603582,3.2766032650604345e-05,0.00024140371319875492,0.00013897778629954949,7.38637033302304e-05,0.0001416454109293888,0.0015560121368490463,0.0001528342461585111,0.00012392736267396564,0.00037421431510674044,0.0007562090784937587,9.788407696445544e-05,0.00023325807912251008,0.0003196159470781059,0.00013860331953400383,9.707690973701204e-05,0.00030809679651804423,6.676080991324357e-05,0.00020791801309809804,9.442396104309167e-05,0.00016247616675396233,0.00016191387330865095,0.00013847278191166665,5.777087213287435e-05,0.00016128017073017986,7.210221867373833e-05,8.171572639180544e-05,0,4.602936508139451e-05,0.0003221989398382824,5.291841973253989e-05,0.0001079831558831431,0.00011673416559074547,0.0001431705086464396,0.00012059049684636994,9.436484963327383e-05
orf7a,2,0.00023913651088567468,0.000110576523410276,0.0003499067785154242,0.00017106736915164285,0.00018099514684436445,0.00020698991594090096,0.00017452226272178208,0.00020164494261964083,8.22389398278567e-05,0.0001681402167884565,4.410378686316013e-05,7.572161887935431e-05,1.6520879151475826e-05,0.00011547232127921551,7.216764811113323e-05,4.6545512479958544e-05,6.972220123769766e-05,0.00019557563846969595,7.776781424611032e-05,6.095020529419368e-05,0.00019089570112202308,0.0003356338249227406,4.299632641388194e-05,8.681568737573865e-05,0.0001548892822205732,6.943113656686817e-05,5.225198524318742e-05,0.0001569931183255275,2.6126592786781108e-05,9.648900153824198e-05,4.6141919734108945e-05,8.232629283362608e-05,6.3227753265274e-05,6.294457343358385e-05,1.8305238679338428e-05,8.054656445535881e-05,4.316344502827955e-05,4.037446444546948e-05,0,3.014328368677941e-05,0.000165366937925862,2.8054400560449894e-05,4.849846586906357e-05,6.186355867018631e-05,7.948349900350721e-05,5.94442038061959e-05,5.142072083360856e-05
orf8,47,0.0041601319151204665,0.0026194643735660355,0.007592670581438447,0.0028170230099119967,0.002777539061230088,0.0038066931963808485,0.0034475083816075214,0.0038072112422520474,0.001348426878903195,0.002886007588723132,0.0008617126768894924,0.0012565991132027423,0.0003099999391519428,0.0022917997364225234,0.0012457262448804993,0.000680199250460383,0.0012073532212751306,0.003297409440696896,0.001529267465079591,0.001253993616995093,0.0033561101903262225,0.005749251486686801,0.0008655135882711105,0.0016357327689472847,0.002969064570871689,0.0013039448685766486,0.0008725803735054613,0.003011758564112632,0.0005674439579155762,0.0020808329783191305,0.000799342907399863,0.0014389893978452935,0.0012370983423923272,0.0011880129281085932,0.0004330370882069412,0.0014359694552895917,0.0008726293308676402,0.0007597002877279715,0,0.0004893750342954967,0.0026609584478008877,0.0006400318036479716,0.0008234208191751934,0.001060831037200123,0.0014016984240899377,0.0011376711068088693,0.0062104731023876385
orf9b,11,0.001074999393117855,0.0007292791756903481,0.0020836267249791855,0.0008791363279296107,0.0009297103199885048,0.0012735680180506993,0.0011728756285883499,0.0012693436236877807,0.0005089247072374123,0.0009234610031893918,0.0008940916215347622,0.0005606452613630974,0.00011508438592740719,0.0007062630995787879,0.0004087567623274182,0.00019214111720747542,0.0004696319802911346,0.0010707522813947425,0.00045816331442052806,0.0009119414735218047,0.003518254981902704,0.0018809131994243662,0.00026655658905728764,0.0005518250576646536,0.0009015923319534299,0.00037357430903596647,0.0002793828495040103,0.0010028488672713825,0.00016645418365631408,0.0006150253407203927,0.00027444522941076285,0.0004599688544057647,0.0004039434039935325,0.00035881196589092047,0.00011385230295798102,0.00047839370252317074,0.0002320866731263479,0.00021920853006066453,0,0.00015708940283440655,0.0008928035463930111,0.00017070676379497889,0.00029508721941842134,0.00038913220083131635,0.00043181165012427667,0.0003884851449551647,0.0003521810246321147
orf9c,26,0.004276163996931253,0.0010810663363333922,0.0046992005259800275,0.0016977184024153692,0.0015895846289726936,0.0021520670427262046,0.0018288581119134503,0.0021308520020178576,0.0007245682091723952,0.0015728621202362745,0.0004402900225306123,0.0007133478605256134,0.00016407746768035608,0.0012032131030395305,0.0006953590867229596,0.00032019397146375284,0.0006834859279531418,0.0018482724709302666,0.0023310315929980768,0.0006342860444490171,0.0017086879963240963,0.0029860222208065016,0.00041396801593605,0.0008697703491542983,0.001504903348399816,0.0006502764398403691,0.0005061743141453173,0.0016092071396768648,0.0003051072862231769,0.0009163118025295903,0.0004371007309990142,0.000759999893889137,0.0007237207362533201,0.00059609003565459,0.00021347824398415394,0.0007970042022407604,0.0008713996045669158,0.0004170138493816735,0,0.0002230167174526764,0.001386213746737697,0.00032674600086424725,0.00044389372881169475,0.0005948563845368543,0.0007517842543246482,0.0005664676130137169,0.00043543881525273046
