viral,Preys,Megalin,SLC22A12,SLC34A1 ,SLC34A3 ,  SLC6A19 , EAAT3,PAT2,SIT1, B^0AT1, ASCT2,SNAT3, TAT1,TMEM27 , SLC7A9 ,SLC3A1 ,URAT1, OAT1,OAT3, OAT4, GLUT9,ABCG2, NPT1
e,6,0.7864791203521644,0.0,0.009950330853168092,0.0,3.228826155721369,0.0,2.6692103677859462,0.0,3.228826155721369,0.10426101032440939,0.0,0.0,0.0,0.18430371799794587,0.0,0.0,0.0,0.0,1.5240780634829436,1.6193882432872684,0.040409538337876666,0.009950330853168092
m,30,1.149384614041533,2.5356789751614235,0.28438717655492834,0.0,2.8233610476132043,1.9760631872260008,2.8233610476132043,0.0,2.8233610476132043,1.1811333123561132,0.0,0.06124362524071867,0.0,0.0,0.8774508985578912,2.5356789751614235,2.41789593950504,0.0,0.5042466526679482,3.9219733362813143,1.6193882432872684,0.009950330853168092
n,15,0.0,0.0,0.28438717655492834,0.0,2.8233610476132043,0.0,3.005682604407159,0.0,2.8233610476132043,0.0,0.0,0.0,0.0,0.28438717655492834,0.0,0.0,0.0,0.0,3.005682604407159,1.3192836508369303,0.0,0.009950330853168092
spike,2,1.9760631872260008,3.5165082281731497,2.217225244042889,0.0,2.8233610476132043,4.61512051684126,3.9219733362813143,0.0,2.8233610476132043,4.61512051684126,0.0,0.009950330853168092,0.0,0.0,0.06124362524071867,3.5165082281731497,2.8233610476132043,0.0,0.39561281166515266,3.9219733362813143,3.9219733362813143,0.009950330853168092
nsp1,6,1.9760631872260008,0.0,0.0,0.0,1.842531794601478,0.0,3.228826155721369,0.0,1.842531794601478,0.10426101032440939,0.0,0.0,0.0,0.05077232537342326,0.020000666706669543,0.0,0.0,0.0,0.2713150949875756,2.41789593950504,0.030153038170687558,0.009950330853168092
nsp10,5,3.5165082281731497,1.7819071727850433,1.1811333123561132,0.0,3.005682604407159,0.0,2.41789593950504,0.0,3.005682604407159,2.1302138670532593,0.0,0.5546775062948401,0.0,0.0,1.7819071727850433,1.7819071727850433,0.951558870711613,0.0,0.7233002187306329,1.9760631872260008,2.41789593950504,0.009950330853168092
nsp11,1,2.6692103677859462,2.6692103677859462,3.228826155721369,0.0,2.41789593950504,0.040409538337876666,4.61512051684126,0.0,2.41789593950504,2.0501711593797225,0.0,0.0,0.0,0.009950330853168092,0.08252102368800347,2.6692103677859462,0.0,0.0,1.3192836508369303,3.5165082281731497,1.7819071727850433,0.009950330853168092
nsp12,20,0.2713150949875756,0.0,0.0,0.0,2.41789593950504,0.0,3.9219733362813143,0.0,2.41789593950504,2.312535423847214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3192836508369303,1.2139231351791042,0.0,0.009950330853168092
nsp13,40,2.1302138670532593,0.0,0.0,0.0,3.005682604407159,0.0,3.005682604407159,0.0,3.005682604407159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9070703157390494,0.6077873316087885,0.009950330853168092
nsp14,3,4.61512051684126,0.020000666706669543,0.19627990904466158,0.0,3.5165082281731497,0.0,3.5165082281731497,0.0,3.5165082281731497,0.9775343571148737,0.0,4.61512051684126,0.0,0.020000666706669543,0.0,0.020000666706669543,0.0,0.7439195059333685,0.3384543978252042,2.312535423847214,0.28438717655492834,0.009950330853168092
nsp15,3,2.8233610476132043,0.6077873316087885,3.005682604407159,0.0,3.5165082281731497,0.0,3.5165082281731497,0.0,3.5165082281731497,1.6193882432872684,0.0,0.0,0.0,1.3570239788197773,0.7864791203521644,0.6077873316087885,0.0,0.0,1.842531794601478,3.005682604407159,1.9070703157390494,0.009950330853168092
nsp2,7,2.5356789751614235,1.2139231351791042,0.009950330853168092,0.0,1.9070703157390494,0.0,2.6692103677859462,0.0,1.9070703157390494,1.7247487589450947,0.0,0.0,0.0,0.0,0.030153038170687558,1.2139231351791042,0.0,0.0,0.009950330853168092,3.5165082281731497,0.5546775062948401,0.009950330853168092
nsp4,8,2.6692103677859462,1.7819071727850433,0.4562374334815876,0.0,3.228826155721369,0.8084580270709397,2.8233610476132043,0.0,3.228826155721369,2.217225244042889,0.0,3.005682604407159,0.0,0.0,1.1811333123561132,1.7819071727850433,3.5165082281731497,0.0,0.22067136216882063,2.8233610476132043,1.149384614041533,0.009950330853168092
nsp5,1,2.1302138670532593,0.0,0.0,0.0,3.005682604407159,0.0,2.312535423847214,0.0,3.005682604407159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3962446919730587,1.437066686493314,2.41789593950504,0.009950330853168092
nsp5_c145a,2,1.7247487589450947,1.7247487589450947,0.39561281166515266,0.0,2.1302138670532593,0.0,2.5356789751614235,0.0,2.1302138670532593,0.8539204011476971,0.0,0.0,0.0,2.5356789751614235,0.009950330853168092,1.7247487589450947,0.0,2.8233610476132043,1.670681537674819,2.8233610476132043,0.7864791203521644,0.009950330853168092
nsp6,4,1.9760631872260008,3.005682604407159,2.1302138670532593,0.0,3.228826155721369,4.61512051684126,3.5165082281731497,0.0,3.228826155721369,3.5165082281731497,0.0,1.9760631872260008,0.0,0.0,2.0501711593797225,3.005682604407159,2.6692103677859462,0.0,1.2829160066660554,3.005682604407159,3.005682604407159,0.009950330853168092
nsp7,32,3.228826155721369,3.5165082281731497,3.9219733362813143,0.0,3.5165082281731497,4.61512051684126,3.005682604407159,0.0,3.5165082281731497,3.5165082281731497,0.0,2.8233610476132043,0.0,0.0,3.228826155721369,3.5165082281731497,2.312535423847214,0.0,0.020000666706669543,4.61512051684126,3.9219733362813143,2.41789593950504
