viral,Preys,IFI6,IFI27,IFITM1,MX1,RN7SK,ARC,DKK1,MT1G,SAMD9,IFIT3,IFIT2,NKX3-1,HSPA6,IFIT1,IFI44L,RSAD2,ISG15,OAS2,CXCL11,IFI44,CXCL10,SLC34A2,IFNλ,IFN b1,IFNL2,CCR1,CCR8,IL16,IL3,CCR2,CCR5,IL5
nsp7,32,1.7247487589450947,0.0,0.0,0.0,0.6448286032891376,0.05077232537342326,2.0501711593797225,0.0,1.2478246868547855,0.0,0.0,0.0,0.8539204011476971,0.0,0.0,2.8233610476132043,4.61512051684126,0.040409538337876666,0.0,0.9015484501369516,0.0,0.0,3.005682604407159,0.5546775062948401,0.0,2.41789593950504,1.2829160066660554,0.0,3.228826155721369,0.5207759546191588,2.312535423847214,1.9760631872260008
nsp8,24,1.9760631872260008,0.0,0.0,0.0,3.5165082281731497,0.0,0.08252102368800347,0.0,0.39561281166515266,0.0,1.2139231351791042,0.0,1.1811333123561132,0.7233002187306329,0.0,0.0,3.9219733362813143,2.312535423847214,0.0,0.5897688261061101,0.0,0.0,0.18430371799794587,0.0,0.0,0.0,0.0,0.0,1.0316015783851495,0.0,0.0,1.3570239788197773
nsp9,16,1.5240780634829436,0.0,0.0,0.0,0.7030975114131134,0.0718257345712555,0.8309308829229983,0.0,0.8539204011476971,0.0,0.0,0.0,0.4254657748148339,0.0,0.0,1.088759992225098,0.0,0.030153038170687558,2.1302138670532593,0.0,2.5356789751614235,0.0,2.217225244042889,0.0,0.0,0.28438717655492834,0.0,0.0,1.5240780634829436,1.6193882432872684,0.4879861317961679,1.670681537674819
orf10,9,1.1811333123561132,0.0,0.0,0.0,1.3570239788197773,0.0,0.23309388216737778,0.0,0.24567266437423793,0.009950330853168092,0.09333193979221911,0.0,1.004202604197035,0.32466107569286834,0.0,0.17246926035094304,0.0,0.663876798259832,0.7030975114131134,0.0,0.0,0.0,1.2829160066660554,0.0,0.0,0.040409538337876666,0.0,0.0,2.6692103677859462,0.0,0.3110554236370897,2.217225244042889
orf3a,8,1.9070703157390494,0.0,0.0,0.0,0.0,0.0,0.8084580270709397,0.0,1.7819071727850433,0.0,0.0,0.0,0.0,0.0,0.626136470276985,1.0316015783851495,0.47198579044972677,0.0,0.0,1.670681537674819,0.0,1.7247487589450947,1.7819071727850433,0.0,0.0,1.1811333123561132,0.0,0.0,2.8233610476132043,2.8233610476132043,3.005682604407159,2.8233610476132043
orf3b,1,2.1302138670532593,1.9070703157390494,0.0,0.0,1.5240780634829436,0.0,0.951558870711613,0.0,1.5240780634829436,0.3384543978252042,0.09333193979221911,0.0,2.217225244042889,0.47198579044972677,0.0,2.1302138670532593,2.0501711593797225,0.5546775062948401,0.0,3.005682604407159,0.0,0.0,1.7819071727850433,0.0,0.0,0.41042789745029334,1.4796263009121098,0.0,2.41789593950504,0.0,1.1811333123561132,2.8233610476132043
orf6,3,1.5240780634829436,0.0,0.0,0.10426101032440939,1.4796263009121098,0.0,1.842531794601478,2.1302138670532593,0.6077873316087885,0.11531084651099437,0.009950330853168092,0.0,0.2713150949875756,0.0,0.0,1.670681537674819,1.2139231351791042,0.0,0.0,0.0,0.0,0.0,1.9760631872260008,0.0,0.0,0.32466107569286834,0.0,0.0,2.0501711593797225,3.9219733362813143,0.3110554236370897,2.5356789751614235
orf7a,2,2.312535423847214,0.0,0.0,0.0,2.0501711593797225,0.8774508985578912,2.41789593950504,0.0,0.7864791203521644,0.0,0.0,0.0,0.32466107569286834,0.0,0.0,2.0501711593797225,0.9775343571148737,0.0,0.0,0.0,0.0,0.0,1.7247487589450947,0.0,0.0,0.24567266437423793,0.0,0.0,2.5356789751614235,3.5165082281731497,1.149384614041533,2.312535423847214
orf8,47,1.9760631872260008,0.0,0.009950330853168092,0.0,0.0,0.0,3.005682604407159,0.0,0.47198579044972677,1.6193882432872684,0.0,2.217225244042889,0.0,2.1302138670532593,3.228826155721369,1.088759992225098,0.7864791203521644,0.0,0.009950330853168092,3.9219733362813143,0.040409538337876666,0.0,2.41789593950504,0.0,0.0,1.7819071727850433,1.2139231351791042,0.0,3.5165082281731497,0.0,0.7030975114131134,4.61512051684126
orf9b,11,1.7247487589450947,0.0,0.7030975114131134,0.0,0.8084580270709397,0.4407332469456223,0.9775343571148737,0.0,1.004202604197035,0.040409538337876666,0.0,0.0,1.9070703157390494,0.23309388216737778,3.9219733362813143,3.005682604407159,1.6193882432872684,1.2829160066660554,0.0,0.5546775062948401,0.0,0.0,2.217225244042889,0.0,0.0,2.6692103677859462,0.0,0.0,3.005682604407159,0.0,0.36662527479190055,2.41789593950504
orf9c,26,1.6193882432872684,0.0,1.7819071727850433,3.9219733362813143,0.0,0.0,3.005682604407159,0.0,0.0,1.437066686493314,0.0,0.0,0.0,0.0,0.0,2.1302138670532593,1.0316015783851495,0.0,1.6193882432872684,0.009950330853168092,2.1302138670532593,2.8233610476132043,4.61512051684126,0.663876798259832,2.0501711593797225,3.005682604407159,3.5165082281731497,0.0,2.41789593950504,2.5356789751614235,2.8233610476132043,1.7247487589450947
