IL‐4,"['m', 'spike', 'nsp10', 'nsp2', 'nsp4', 'nsp6', 'nsp7', 'orf10', 'orf8', 'orf9b', 'orf9c']"
IL‐10,"['spike', 'orf8', 'orf9c']"
IL‐17,"['spike', 'nsp12', 'orf8', 'orf9c']"
IL‐22,"['spike', 'orf9c']"
HK2*,"['nsp1', 'nsp11', 'nsp6', 'orf6', 'orf8', 'orf9b']"
GPI,"['nsp11', 'nsp14', 'orf3b']"
PFKP,"['nsp11', 'nsp14', 'nsp15', 'nsp5_c145a', 'orf7a']"
ENO2*,"['nsp11', 'nsp14', 'nsp15', 'nsp4', 'nsp5_c145a', 'nsp7', 'orf10']"
PKM*,"['nsp11', 'nsp5', 'nsp7', 'orf7a', 'orf9b']"
LDHA,"['m', 'nsp11', 'nsp14', 'nsp4', 'nsp7', 'orf10', 'orf3b']"
ALDOA,"['nsp11', 'nsp5_c145a', 'orf3b', 'orf6']"
PGK1,"['nsp11', 'nsp14', 'nsp5_c145a', 'orf3b', 'orf6']"
BPGM*,['nsp15']
PGD,"['m', 'nsp11', 'nsp14', 'nsp15', 'nsp4', 'nsp5_c145a', 'nsp9', 'orf3b', 'orf6', 'orf9b']"
PGLS,"['nsp10', 'nsp11', 'nsp15', 'nsp4', 'nsp5_c145a']"
RBKS,"['nsp11', 'nsp13', 'nsp15', 'nsp4', 'orf3a']"
DNAJC15*,['nsp7']
ATP1A1*,"['m', 'nsp11', 'nsp6', 'nsp7', 'orf10', 'orf3b', 'orf6']"
UQCRB,"['m', 'spike', 'nsp11', 'nsp2', 'nsp4', 'nsp5_c145a', 'nsp6', 'nsp7', 'orf3b', 'orf6']"
IDH1*,"['nsp10', 'nsp11', 'nsp14', 'nsp15', 'nsp4', 'nsp5_c145a', 'orf3b', 'orf6']"
CDK1*,"['nsp1', 'orf3b']"
ZDHHC14,[]
IFITM3*,"['nsp6', 'orf3b']"
ACAA1,"['spike', 'nsp11', 'nsp12', 'nsp14', 'nsp15', 'nsp5_c145a', 'nsp6', 'orf3b']"
HMGCS1*,['nsp13']
ACAT2,"['n', 'nsp10', 'nsp11', 'nsp14', 'nsp15', 'nsp4', 'nsp5_c145a', 'nsp6', 'orf3b', 'orf6', 'orf7a', 'orf9b']"
BCKDK,"['nsp14', 'nsp6', 'orf7a']"
MVD,"['nsp10', 'nsp11', 'nsp14', 'nsp2', 'nsp4', 'orf3b', 'orf9b']"
FDFT1,"['nsp6', 'nsp7', 'orf3a', 'orf3b']"
SQLE*,"['m', 'nsp4', 'nsp6', 'orf9c']"
DGAT1,"['m', 'spike', 'nsp6', 'orf3a', 'orf9c']"
MTTP,"['nsp7', 'orf8']"
NFKB1*,"['nsp13', 'nsp5']"
JUN,"['e', 'm', 'n', 'nsp1', 'nsp10', 'nsp12', 'nsp13', 'nsp15', 'nsp4', 'nsp5', 'nsp7', 'nsp8', 'nsp9', 'orf10', 'orf3b', 'orf6', 'orf7a', 'orf9b']"
FOXO1*,"['nsp1', 'nsp11', 'nsp14', 'nsp15', 'nsp2', 'nsp5']"
GCLC*,"['nsp14', 'nsp15', 'nsp9', 'orf9b']"
HMOX2*,"['m', 'nsp2', 'nsp4', 'nsp6', 'nsp7', 'orf3b', 'orf9c']"
SOD2,"['m', 'nsp11', 'nsp14', 'nsp15', 'nsp5_c145a', 'nsp6', 'orf3b', 'orf6', 'orf8']"
