gene,entrez
Cadherin-5,1003
Cadherin-2,1000
Cadherin-3,1001
Cadherin-4,1002
Catenin delta 1,1500
Cateninβ ,1499
α Catenin ,1495
Occludin,100506658
Claudin-5,7122
ZO-1,7082
ZO-2,9414
ZO-3,27134
