gene,entrez
HK2*,3099
GPI,2821
PFKP,5214
ENO2*,2026
PKM*,5315
LDHA,3939
ALDOA,226
PGK1,5230
BPGM*,669
PGD,5226
PGLS,25796
RBKS,64080
DNAJC15*,29103
ATP1A1*,476
UQCRB,7381
IDH1*,3417
CDK1*,983
ZDHHC14,79683
IFITM1*,8519
IFITM3*,10410
ACAA1,30
HMGCS1*,3158
ACAT2,39
BCKDK,10295
MVD,4597
FDFT1,2222
SQLE*,6713
DGAT1,8694
MTTP,4547
NFKB1*,4790
JUN,3725
FOXO1*,2308
GCLC*,2729
HMOX2*,3163
IL6*,3569
SOD2,6648
ERN1,2081
EIF2AK2,5610
ATF4,468
CEBPB,1051
DNAJB9,4189
