gene,entrez
UNC13A,23025
RAB27A,5873
RAB3A,5864
RIMS1,22999
RPH3A,22895
SNAP25,6616
SNCA,6622
STX1A,6804
STXBP1,6812
STXBP5,134957
Syp,6855
Tau,4137
Caspase 3,836
