gene,entrez
Megalin,4036
SLC22A12,116085
SLC34A1 ,6569
SLC34A3 ,142680
  SLC6A19 ,340024
 EAAT3,6505
PAT2,153201
SIT1,54716
 B^0AT1,340024
B^0AT3,348932
 ASCT2,6510
SNAT3,10991
 TAT1,117247
TMEM27 ,57393
 SLC7A9 ,11136
SLC3A1 ,6519
URAT1,116085
 OAT1,9356
OAT3,9376
 OAT4,55867
 GLUT9,56606
ABCG2,9429
 NPT1,6568
NPT4,10786
