gene,entrez
IFI6,2537
IFI27,3429
IFITM1,8519
MX1,4599
RN7SK,125050
ARC,23237
DKK1,22943
MT1G,4495
SAMD9,54809
IFIT3,3437
C10orf99,387695
IFIT2,3433
NKX3-1,4824
LINC00941,100287314
HSPA6,3310
IFIT1,3434
IFI44L,10964
CMPK2,129607
RSAD2,91543
ISG15,9636
OAS2,4939
CXCL11,6373
IFI44,10561
CXCL10,3627
SLC34A2,10568
IFNλ,3458
IFN b1,3456
IFNL2,282616
IFNL3,28617
CCR1,1230
CCR8,1237
IL16,3603
IL3,3562
CCR2,729230
CCR5,1234
IL5,3567
