gene,entrez
"IKKβ,",3551
IFNλ,3458
TNF‐α,7124
 LTa3 ,
GMCSF,
IL‐1β,3553
 IL‐2,3558
IL‐6 ,3569
IL‐8 ,3576
IL‐12,3593
IL‐13,3596
IL‐33,90865
IL‐4,3565
IL‐5,3567
IL‐10,3586
IL‐17,3605
IL‐22,50616
