viral,Preys,Cadherin-5,Cadherin-2,Cadherin-3,Cadherin-4,Catenin delta 1,Cateninβ  ,α Catenin ,Occludin,Claudin-5,ZO-1,ZO-2,ZO-3
e,6,0.05077232537342326,2.6692103677859462,2.312535423847214,0.9015484501369516,2.41789593950504,1.2829160066660554,1.7819071727850433,2.5356789751614235,0.0,2.41789593950504,1.7819071727850433,2.8233610476132043
m,30,0.32466107569286834,1.6193882432872684,1.9070703157390494,0.0,0.9775343571148737,1.3570239788197773,0.5546775062948401,1.5240780634829436,0.0,3.005682604407159,1.1186129553747792,0.4254657748148339
n,15,0.0,1.0316015783851495,2.217225244042889,2.6692103677859462,3.005682604407159,1.6193882432872684,0.6832948841169336,0.0,0.0,0.6448286032891376,1.149384614041533,0.020000666706669543
spike,2,1.670681537674819,3.228826155721369,2.6692103677859462,1.7247487589450947,3.5165082281731497,1.2478246868547855,3.228826155721369,4.61512051684126,3.9219733362813143,3.005682604407159,1.4796263009121098,1.7819071727850433
nsp1,6,0.5720692490067094,3.005682604407159,3.5165082281731497,1.7819071727850433,2.312535423847214,1.3962446919730587,2.312535423847214,0.3110554236370897,0.0,2.6692103677859462,3.228826155721369,0.9015484501369516
nsp10,5,0.9775343571148737,3.228826155721369,4.61512051684126,0.4562374334815876,1.9760631872260008,2.1302138670532593,3.5165082281731497,2.5356789751614235,0.0,2.5356789751614235,2.1302138670532593,3.9219733362813143
nsp11,1,0.7649729151312008,3.5165082281731497,2.217225244042889,1.5240780634829436,2.217225244042889,2.41789593950504,2.1302138670532593,1.3192836508369303,0.0,3.5165082281731497,2.8233610476132043,2.312535423847214
nsp12,20,0.0,1.5705980791178364,1.9760631872260008,0.9015484501369516,1.842531794601478,0.7649729151312008,1.3192836508369303,0.13778370236305298,0.0,1.6193882432872684,1.9760631872260008,0.6077873316087885
nsp13,40,0.0,1.3570239788197773,2.312535423847214,0.009950330853168092,1.9070703157390494,2.312535423847214,2.6692103677859462,0.9775343571148737,0.0,3.5165082281731497,4.61512051684126,2.1302138670532593
nsp14,3,0.030153038170687558,2.41789593950504,2.312535423847214,0.39561281166515266,2.217225244042889,1.6193882432872684,1.9070703157390494,0.8539204011476971,0.0,0.9015484501369516,1.7247487589450947,0.8084580270709397
nsp15,3,0.9775343571148737,3.005682604407159,3.9219733362813143,1.4796263009121098,2.5356789751614235,1.059772455351846,2.41789593950504,1.437066686493314,0.0,3.228826155721369,3.5165082281731497,1.3192836508369303
nsp2,7,2.41789593950504,2.1302138670532593,3.228826155721369,0.0,2.41789593950504,0.7233002187306329,1.9760631872260008,1.6193882432872684,0.0,2.5356789751614235,2.312535423847214,1.7819071727850433
nsp4,8,1.7819071727850433,3.228826155721369,1.7819071727850433,0.9015484501369516,2.217225244042889,3.228826155721369,1.7247487589450947,2.0501711593797225,0.0,2.6692103677859462,2.0501711593797225,0.8774508985578912
nsp5,1,0.0,2.41789593950504,2.8233610476132043,1.149384614041533,2.1302138670532593,4.61512051684126,2.312535423847214,0.32466107569286834,0.0,1.3570239788197773,3.228826155721369,0.5375830729355401
nsp5_c145a,2,1.3192836508369303,3.228826155721369,3.228826155721369,0.9775343571148737,2.6692103677859462,1.9760631872260008,3.005682604407159,1.004202604197035,0.0,2.8233610476132043,2.312535423847214,1.6193882432872684
nsp6,4,1.9070703157390494,3.005682604407159,2.6692103677859462,0.626136470276985,3.5165082281731497,1.6193882432872684,1.9760631872260008,3.9219733362813143,0.0,3.005682604407159,1.7819071727850433,2.41789593950504
nsp7,32,1.3570239788197773,1.670681537674819,3.9219733362813143,1.437066686493314,1.3192836508369303,0.9775343571148737,2.41789593950504,1.2829160066660554,0.0,1.7819071727850433,1.7819071727850433,1.6193882432872684
nsp8,24,0.0,1.3192836508369303,1.4796263009121098,0.0718257345712555,1.1186129553747792,0.9262410627273231,0.3384543978252042,0.0,0.0,0.7649729151312008,1.9760631872260008,0.0
nsp9,16,0.6832948841169336,2.6692103677859462,2.1302138670532593,0.23309388216737778,1.9760631872260008,1.088759992225098,1.9760631872260008,2.6692103677859462,0.0,1.5705980791178364,2.5356789751614235,2.1302138670532593
orf10,9,0.0,2.1302138670532593,3.5165082281731497,0.040409538337876666,2.41789593950504,1.9070703157390494,2.217225244042889,0.0,0.0,0.7439195059333685,1.3192836508369303,0.1264841471091196
orf3a,8,0.47198579044972677,1.9760631872260008,3.5165082281731497,0.020000666706669543,2.1302138670532593,0.5546775062948401,1.3962446919730587,2.6692103677859462,1.9070703157390494,3.005682604407159,1.842531794601478,1.2829160066660554
orf3b,1,0.41042789745029334,3.228826155721369,1.670681537674819,0.1264841471091196,2.8233610476132043,1.7247487589450947,2.6692103677859462,0.8084580270709397,0.0,2.217225244042889,1.149384614041533,2.0501711593797225
