gene,entrez,distance
UNC13A,23025,1
RAB27A,5873,2
RAB3A,5864,1
RIMS1,22999,2
RPH3A,22895,1
SNAP25,6616,2
SNCA,6622,1
STX1A,6804,1
STXBP1,6812,1
STXBP5,134957,2
Syp,6855,2
Tau,4137,1
Caspase 3,836,1
