gene,entrez,distance
Megalin,4036,1
SLC22A12,116085,2
SLC34A1 ,6569,2
SLC34A3 ,142680,2
  SLC6A19 ,340024,2
 EAAT3,6505,1
PAT2,153201,2
SIT1,54716,2
 B^0AT1,340024,2
 ASCT2,6510,1
SNAT3,10991,2
 TAT1,117247,2
TMEM27 ,57393,2
 SLC7A9 ,11136,2
SLC3A1 ,6519,2
URAT1,116085,2
 OAT1,9356,2
OAT3,9376,2
 OAT4,55867,2
 GLUT9,56606,2
ABCG2,9429,1
 NPT1,6568,2
